model_id,model_make_id,model_name,model_trim,model_year,model_body_style,model_engine_position,model_engine_cc,model_engine_num_cyl,model_engine_type,mode_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display
13456,ford,Fiesta,1.6,1977,,Front,1598,4,in-line,,67,5000,111,3200,87.7,66,,Gasoline,,,Front,Manual,5,,805,3570,1570,1320,2290,,,,,1,,Ford
13457,ford,Fiesta,1.4i Zetec SE Trend,1999,Hatchback,Front,1388,4,in-line,,130,5500,170,4500,76,76.5,10.3:1,,177,11.7,Front,Manual,5,3,922,3830,1640,1330,2450,,,,40,0,,Ford
13458,ford,Probe,,1997,Coupe,Front,1991,4,in-line,4,117,5500,172,4500,83,92,9.0:1,Gasoline,,,Front,Manual,4,2,1230,4590,1790,1320,,,,,,1,,Ford
13459,ford,Fiesta,1.6,1989,Hatchback,Front,1597,4,in-line,,110,6000,138,2800,,,9.5:1,Gasoline,185,,Front,Manual,5,3,905,3810,1610,1330,2330,,,,55,0,,Ford
13460,ford,Fiesta,1.6,2001,Hatchback,Front,1596,4,in-line,4,101,6000,145,4000,,,11.0:1,Gasoline,180,10.8,Front,Manual,5,5,976,3920,1690,1420,2630,,15.8,,45,0,,Ford
13461,ford,Mustang,3.3,1979,Coupe,Front,3273,6,in-line,,91,3600,209,1600,,,,Gasoline,,,Rear,Manual,4,2,1220,4560,1720,1320,2560,,,,,1,,Ford
13462,ford,Mustang,3.8,1983,Coupe,Front,3797,6,in-line,,120,3600,278,1600,,,,Gasoline,,,Rear,,4,2,1278,4560,1720,1320,2560,,,,,1,,Ford
13463,ford,Capri,1.6,1985,Coupe,Front,1593,4,in-line,,,,,,,,,Gasoline,,,Rear,Manual,4,2,1044,4380,1700,1330,2570,,,,,1,,Ford
13464,ford,Crown Victoria,LX Sport,2005,Sedan,Front,4605,8,V,2,242,5500,362,,90,90,9.4:1,Gasoline,,,Rear,Automatic,5,4,1840,5390,1970,1450,2840,9.4,11.2,13.1,72,1,,Ford
13465,ford,Crown Victoria,LX Sport,2006,Sedan,Front,4604,8,V,2,242,4750,374,4000,90.2,90,9.4:1,Gasoline,,,Rear,Automatic,5,4,2856,5390,1970,1450,2920,9.4,11.8,13.8,72,1,,Ford
13466,ford,Escort,1.3,1992,Hatchback,Front,1324,4,in-line,,63,5000,99,2500,,,,Gasoline,149,,Front,Manual,5,3,905,4110,1700,1400,2530,,,,55,1,,Ford
13467,ford,Think Neighbor,Concept,2001,,Middle,1997,,electric,,132,6250,175,,,,,Electric,,,Rear,Automatic,4,,1280,2670,1170,1760,2870,,,,,0,,Ford
13468,ford,Think,Concept,2001,,Front,1798,,electric,,130,5500,183,,,,,Electric,,,Front,Automatic,,,1208,,,,2730,,,,,0,,Ford
13469,ford,Expedition,King Ranch,2008,SUV,Front,5408,8,V,3,305,5000,495,3750,,,9.8:1,Gasoline,,,4WD,Automatic,8,5,1110,5250,2010,1970,3030,,5.3,,106,1,,Ford
13470,ford,Ka,Streetka 1.6,2004,Roadster,Front,1597,4,in-line,2,95,5500,135,4250,82.2,75.5,10.0:1,Gasoline - Premium,,12.1,Front,Manual,2,2,1136,3660,1690,1380,2460,,7.9,,40,0,,Ford
13471,ford,Ranger,2.5 D XL,2006,Pickup,Front,2499,4,in-line,3,87,4200,174,2000,,,21.6:1,Diesel,,,Rear,Manual,2,2,2862,4670,,2120,2990,,11.8,,80,1,,Ford
13472,ford,Fusion,1.4 TDCi Ambiente,2005,Sedan,Front,1388,4,in-line,2,68,4000,160,2000,73.7,82,18.0:1,Diesel,158,15.5,Front,Manual,5,4,1177,4020,1710,1500,2500,,4.6,,45,1,,Ford
13473,ford,Focus,2.0 Trend Automatic,2007,Sedan,Front,1998,4,in-line,4,145,6000,185,4500,87.5,83.1,10.8:1,Gasoline,197,10.7,Front,Automatic,5,4,1305,4490,2000,1450,2650,,8.3,,55,1,,Ford
13474,ford,Focus,2.0 Trend,2008,Sedan,Front,1988,4,in-line,4,130,5500,178,4500,,,10.0:1,Gasoline - Premium,196,9.2,Front,Manual,5,4,1213,5770,1710,1730,2620,,7.1,,55,1,,Ford
13475,ford,Ka,Streetka 1.6,2005,Roadster,Front,1599,4,in-line,2,95,5300,135,4250,82.1,75.5,10.0:1,Gasoline - Premium,173,12.1,Front,Manual,2,2,1136,3660,1690,1350,2450,,7.9,,40,0,,Ford
13476,ford,Mustang,GT Premium Convertible,2008,Convertible,Front,4606,8,V,3,304,5750,434,4500,,,,,,,Rear,Manual,4,2,2862,4770,1890,1390,2730,10.2,13.1,15.7,61,1,,Ford
13477,ford,Consul,,1951,,Front,1508,4,in-line,2,41,,101,2400,,,,Gasoline,,,Rear,Manual,5,,1045,4280,1630,1550,2550,,,,,1,,Ford
13478,ford,Consul,,1952,,Front,1508,4,in-line,2,41,,100,2400,,,,Gasoline,,,Rear,Manual,5,,1045,4280,1630,1550,2550,,,,,1,,Ford
13479,ford,Focus,2.0 Wagon,2000,Station Wagon,Front,1989,4,in-line,4,131,5300,180,4500,,,10.0:1,Gasoline,,,Front,Manual,5,5,1200,4530,1710,1450,2620,,,,55,1,,Ford
13480,ford,Fiesta,Zetec S,2005,Hatchback,Front,1560,4,in-line,4,90,4000,208,1750,75,88.3,18.1:1,Diesel,175,,Front,Manual,5,3,1134,3930,1690,1470,2490,,,,43,0,,Ford
13481,ford,Mondeo,2.0 Ambiente,2009,Sedan,Front,1999,4,in-line,4,145,6000,190,4500,,,11.0:1,Gasoline - Premium,210,9.8,Front,Manual,5,4,1369,4740,1820,1420,2760,,7.9,,59,0,,Ford
13482,ford,F-150,,2000,Pickup,Front,4195,6,in-line,,205,4750,338,3000,,,,Gasoline,,,4WD,Manual,2,,2075,5230,2000,1850,3050,,,,,1,,Ford
13483,ford,Ka,Collection,2009,Hatchback,Front,1297,4,in-line,2,69,5500,106,3000,74.1,75.5,10.2:1,Gasoline,,13.7,Front,Manual,4,3,,3630,1830,1390,2450,,6.5,,40,0,,Ford
13484,ford,Galaxy,2.8 Trend,2008,Minivan,Front,2792,6,V,4,204,6200,265,3400,81,90.3,11.0:1,Gasoline - Premium,217,9.9,Front,,5,5,1782,4650,1820,1830,2840,,10.8,,70,0,,Ford
13485,ford,Urban Explorer,Concept,2001,,Front,5000,8,V,,130,5750,380,,,,,,,,4WD,Manual,5,,1769,4790,1790,,2840,,,,132,0,,Ford
13486,ford,Taurus,3,2005,Sedan,Front,2999,6,V,4,204,,250,4500,89,79.5,10.0:1,Gasoline,,,Front,Automatic,8,4,1505,5030,1860,1430,2760,,11.8,,68,1,,Ford
13487,ford,Escort,Clipper,1996,,Front,1391,4,in-line,,75,5600,115,2750,,,,Gasoline,,,Front,Manual,5,,1130,4310,1710,1450,,,,,,1,,Ford
13488,ford,Edge,SEL AWD,2009,Crossover,Front,3495,6,V,4,269,6250,339,4500,,,10.3:1,Gasoline,,,4WD,Automatic,5,5,1107,4720,1930,1710,2830,10.7,5.3,15.7,76,1,,Ford
13489,ford,Scorpio,2.0i,1994,,Front,1998,4,in-line,,136,6300,175,4200,86.1,86,9.8:1,,,,Front,Manual,5,4,1490,4830,1880,1390,2780,,,,70,0,,Ford
13490,ford,Focus,Turnier 1.6 Ti-VCT Trend,2006,,Front,1596,4,in-line,4,116,6000,155,4150,79,81.4,11.0:1,Gasoline - Premium,190,11,Front,Manual,5,5-Mar,1150,4460,1710,1540,2620,,6.4,,55,1,,Ford
13491,ford,Popular,,1953,,Front,1172,4,in-line,2,26,4000,63,2400,,,,Gasoline,,,Rear,Manual,,,735,3880,1440,1630,2300,,,,,1,,Ford
13492,ford,Cortina,1300,1976,,Front,1298,4,in-line,,55,,91,3000,79.1,66,8.0:1,Gasoline,,,Rear,Manual,5,4-Feb,1000,4350,1710,1370,2590,,,,55,1,,Ford
13493,ford,C-MAX,1.6 Ambiente,2007,Minivan,Front,1596,4,in-line,4,100,6000,145,4000,79,81.4,11.0:1,Gasoline - Premium,175,12.9,Front,Manual,5,5,1452,4340,1830,1610,2650,,7.1,,53,0,,Ford
13494,ford,Focus,1.6 Trend Sedan,2007,Sedan,Front,1596,4,in-line,4,105,6000,145,4000,78,83.6,11.0:1,Gasoline,183,11.5,Front,Manual,5,4,1240,4490,2000,1450,2650,,7.4,,55,1,,Ford
13495,ford,Fiesta,1.3,1984,,Front,1296,4,in-line,,69,6000,103,4000,,,,Gasoline,,,Front,Manual,,,800,3650,1590,1340,2300,,,,,0,,Ford
13496,ford,Zephyr,2.2,1950,,Front,2262,6,in-line,2,58,4000,151,2000,79.4,76.2,6.8:1,Gasoline,130,,Rear,Manual,5,4,1145,4370,1630,1550,2650,,,,40,1,,Ford
